State,Away Losses,Home Losses,Away Wins,Home Wins
Thunderbirds,3,1,5,7
Tactix,5,3,1,4
Pulse,6,6,0,1
Vixens,1,0,5,9
Swifts,7,4,0,2
Mystics,6,0,4,1
Firebirds,3,2,4,4
Steel,5,0,3,5
Magic,3,1,5,6
Fever,4,4,2,3
