State,Away Losses,Home Losses,Away Wins,Home Wins
Thunderbirds,3,1,5,6
Tactix,7,5,0,1
Pulse,7,5,0,1
Vixens,4,3,3,3
Swifts,0,2,6,7
Mystics,3,3,3,4
Firebirds,4,2,2,5
Steel,4,2,3,5
Magic,4,1,4,7
Fever,6,3,1,3
