State,Away Losses,Home Losses,Away Wins,Home Wins
Thunderbirds,4,4,2,3
Tactix,6,6,0,1
Pulse,5,5,1,2
Vixens,3,2,3,5
Swifts,2,3,5,4
Mystics,3,2,7,4
Firebirds,0,0,6,8
Steel,6,3,1,3
Magic,2,3,6,4
Fever,4,6,2,1
