State,Away Losses,Home Losses,Away Wins,Home Wins
Thunderbirds,4,1,4,5
Tactix,6,5,1,1
Pulse,5,3,2,3
Vixens,1,3,6,5
Swifts,4,1,2,6
Mystics,2,3,5,5
Firebirds,4,2,2,5
Steel,5,7,1,1
Magic,3,1,5,7
Fever,6,4,1,2
