Season,Team,Result,HScore,AScore,Round,Date,OppositionTeam
2013,Waikato Bay of Plenty Magic,WinAway,69,46,1,Sunday 24 March,Canterbury Tactix
2013,Waikato Bay of Plenty Magic,LoseAway,51,57,3,Sunday 7 April,West Coast Fever
2013,Waikato Bay of Plenty Magic,LoseAway,52,53,6,Sunday 28 April,Central Pulse
2013,Waikato Bay of Plenty Magic,LoseAway,33,45,7,Monday 6 May,Adelaide Thunderbirds
2013,Waikato Bay of Plenty Magic,LoseAway,58,65,9,Saturday 18 May,Southern Steel
2013,Waikato Bay of Plenty Magic,WinAway,65,62,10,Sunday 26 May,Queensland Firebirds
2013,Waikato Bay of Plenty Magic,WinAway,60,50,12,Monday 10 June,Northern Mystics
2013,West Coast Fever,LoseAway,41,55,1,Monday 25 March,New South Wales Swifts
2013,West Coast Fever,LoseAway,46,72,4,Sunday 14 April,Adelaide Thunderbirds
2013,West Coast Fever,LoseAway,54,63,7,Sunday 5 May,Queensland Firebirds
2013,West Coast Fever,WinAway,64,55,9,Sunday 19 May,Canterbury Tactix
2013,West Coast Fever,LoseAway,52,53,10,Sunday 26 May,Central Pulse
2013,West Coast Fever,LoseAway,39,69,14,Sunday 23 June,Melbourne Vixens
