State,Away Losses,Home Losses,Away Wins,Home Wins
Thunderbirds,1,0,5,9
Tactix,5,6,1,1
Pulse,4,1,2,6
Vixens,3,3,4,5
Swifts,6,3,1,3
Mystics,7,5,0,1
Firebirds,2,3,8,3
Steel,5,2,2,4
Magic,4,1,3,6
Fever,5,3,1,5
